ProductName,ProductPrice,Discount,NumberofReviews,Rate,Review,Summary
 Bassheads 172 Sunburn Edition,"
Sale price₹ 349",73% off,12 reviews,"★
  4.8
    ",,boAt Bassheads 172 Sunburn Edition
 Bassheads 172 Sunburn Edition,"
Sale price₹ 349",73% off,12 reviews,"★
  4.8
    ",amezing purchase,"fast delivery , Quality of product is very nice."
 Bassheads 172 Sunburn Edition,"
Sale price₹ 349",73% off,12 reviews,"★
  4.8
    ",Awesome,Good quality of sound
 Bassheads 172 Sunburn Edition,"
Sale price₹ 349",73% off,12 reviews,"★
  4.8
    ",Superb sound quality,"Damm hard bass quality as expected from boAt , degsin is also good"
 BassHeads 152 Sunburn Edition,"
Sale price₹ 399",69% off,20 reviews,"★
  4.9
    ",Quality,Nice headset must buy value for money
 BassHeads 152 Sunburn Edition,"
Sale price₹ 399",69% off,20 reviews,"★
  4.9
    ",,boAt BassHeads 152 Sunburn Edition
 BassHeads 152 Sunburn Edition,"
Sale price₹ 399",69% off,20 reviews,"★
  4.9
    ",,boAt BassHeads 152 Sunburn Edition
 BassHeads 152 Sunburn Edition,"
Sale price₹ 399",69% off,20 reviews,"★
  4.9
    ",Excellent Earphones,This Earphones Is Very Useful
 BassHeads 152 Sunburn Edition,"
Sale price₹ 399",69% off,20 reviews,"★
  4.9
    ",,boAt BassHeads 152 Sunburn Edition
 BassHeads 152 Sunburn Edition,"
Sale price₹ 399",69% off,20 reviews,"★
  4.9
    ",,Works well looks amazing
 Rockerz 558 Sunburn Edition,"
Sale price₹ 1,999",60% off,1 review,"★
  4.0
    ",Good sound. Worth its price,"Product is comfy, looks premium, feels great (material hard and soft touches). The sound is above good. Music clarity is there, volume is just great. Beats, bass, treble everything is balanced enough for us to enjoy music the way want to. Rest, in other cases, we can adjust the EQ. Good product at this price."
 Airdopes 383 Sunburn Edition,"
Sale price₹ 2,499",50% off,9 reviews,"★
  5.0
    ",Excellent battery life,Can listen for almost more than 6 hours  in single charge
 Airdopes 383 Sunburn Edition,"
Sale price₹ 2,499",50% off,9 reviews,"★
  5.0
    ",,boAt Airdopes 383 Sunburn Edition
 Airdopes 383 Sunburn Edition,"
Sale price₹ 2,499",50% off,9 reviews,"★
  5.0
    ",,boAt Airdopes 383 Sunburn Edition
 Airdopes 383 Sunburn Edition,"
Sale price₹ 2,499",50% off,9 reviews,"★
  5.0
    ",,Thanks boat
 Airdopes 383 Sunburn Edition,"
Sale price₹ 2,499",50% off,9 reviews,"★
  5.0
    ",Good very good,Very good airpodes..
 Airdopes 383 Sunburn Edition,"
Sale price₹ 2,499",50% off,9 reviews,"★
  5.0
    ",Good very good,Very Good Airbuds
 Airdopes 131 Captain America Marvel Edition ,"
Sale price₹ 1,599",47% off,43 reviews,"★
  4.9
    ",,Audio quality and battery backup is much better than other products
 Airdopes 131 Captain America Marvel Edition ,"
Sale price₹ 1,599",47% off,43 reviews,"★
  4.9
    ",,The product is good but it was late delivered
 Airdopes 131 Captain America Marvel Edition ,"
Sale price₹ 1,599",47% off,43 reviews,"★
  4.9
    ",Good,Good condition
 Airdopes 131 Captain America Marvel Edition ,"
Sale price₹ 1,599",47% off,43 reviews,"★
  4.9
    ",,"Amazing product
Good sound quality
200% worth it"
 Airdopes 131 Captain America Marvel Edition ,"
Sale price₹ 1,599",47% off,43 reviews,"★
  4.9
    ",Good quality,Good
 Airdopes 131 Captain America Marvel Edition ,"
Sale price₹ 1,599",47% off,43 reviews,"★
  4.9
    ",Nice 👍,[****]
 Airdopes 131 Iron Man Marvel Edition ,"
Sale price₹ 1,599",47% off,70 reviews,"★
  4.9
    ",Best quality airdopes,These fitted my ears perfectly easy to operate and yeah these are actually good during listening songs due to their multi function button
 Airdopes 131 Iron Man Marvel Edition ,"
Sale price₹ 1,599",47% off,70 reviews,"★
  4.9
    ",Jhakkas 🔥💯🤘😎,It's awesome thank you boAt 👍
 Airdopes 131 Iron Man Marvel Edition ,"
Sale price₹ 1,599",47% off,70 reviews,"★
  4.9
    ",Super,Useful Thank u boat
 Airdopes 131 Iron Man Marvel Edition ,"
Sale price₹ 1,599",47% off,70 reviews,"★
  4.9
    ",Awesome product,Worthy product according to price. And personalization is always loved ❤️
 Airdopes 131 Iron Man Marvel Edition ,"
Sale price₹ 1,599",47% off,70 reviews,"★
  4.9
    ",Very good,Very good
 Airdopes 131 Iron Man Marvel Edition ,"
Sale price₹ 1,599",47% off,70 reviews,"★
  4.9
    ",This is amazing,Sound is too good
 Bassheads 172 Sunburn Edition,"
Sale price₹ 349",73% off,12 reviews,"★
  4.8
    ",Boat headphones,Nice sound quality
 Bassheads 172 Sunburn Edition,"
Sale price₹ 349",73% off,12 reviews,"★
  4.8
    ",Value for Money,"I got this for just 350rs including shipping and taxes. For just 350rs the sound quality it offers is just great. Also the earphones are aluminium built, which is super good. But the only problem is that the cable is only braided half, the rest of the cable is just normal rubber . But it's worth it."
 Bassheads 172 Sunburn Edition,"
Sale price₹ 349",73% off,12 reviews,"★
  4.8
    ",,boAt Bassheads 172 Sunburn Edition
 Bassheads 172 Sunburn Edition,"
Sale price₹ 349",73% off,12 reviews,"★
  4.8
    ",amezing purchase,"fast delivery , Quality of product is very nice."
 Bassheads 172 Sunburn Edition,"
Sale price₹ 349",73% off,12 reviews,"★
  4.8
    ",Awesome,Good quality of sound
 Bassheads 172 Sunburn Edition,"
Sale price₹ 349",73% off,12 reviews,"★
  4.8
    ",Superb sound quality,"Damm hard bass quality as expected from boAt , degsin is also good"
 BassHeads 152 Sunburn Edition,"
Sale price₹ 399",69% off,20 reviews,"★
  4.9
    ",Quality,Nice headset must buy value for money
 BassHeads 152 Sunburn Edition,"
Sale price₹ 399",69% off,20 reviews,"★
  4.9
    ",,boAt BassHeads 152 Sunburn Edition
 BassHeads 152 Sunburn Edition,"
Sale price₹ 399",69% off,20 reviews,"★
  4.9
    ",,boAt BassHeads 152 Sunburn Edition
 BassHeads 152 Sunburn Edition,"
Sale price₹ 399",69% off,20 reviews,"★
  4.9
    ",Excellent Earphones,This Earphones Is Very Useful
 BassHeads 152 Sunburn Edition,"
Sale price₹ 399",69% off,20 reviews,"★
  4.9
    ",,boAt BassHeads 152 Sunburn Edition
 BassHeads 152 Sunburn Edition,"
Sale price₹ 399",69% off,20 reviews,"★
  4.9
    ",,Works well looks amazing
 Airdopes 381 Sunburn Edition,"
Sale price₹ 2,999",40% off,1 review,"★
  5.0
    ",Boat air dope,Sound quality is very poor feeling bad for order
 Watch Storm - Captain America Marvel Edition,"
Sale price₹ 1,999",67% off,1 review,"★
  5.0
    ",,boAt Watch Storm - Captain America Marvel Edition
 Airdopes 441 KKR Edition,"
Sale price₹ 2,499",58% off,1 review,"★
  5.0
    ",Best in class.,This product is superb and sound quality is very good. Also looking is very nice.
 Stone 190 - Captain America Marvel Edition,"
Sale price₹ 1,299",57% off,2 reviews,"★
  5.0
    ",Perfect,This product is perfect for captain america fans the finishing is very good and the sound quality is prefect.
 Stone 190 - Captain America Marvel Edition,"
Sale price₹ 1,299",57% off,2 reviews,"★
  5.0
    ",Awesome product,"Nice work and best price is only for small room. 
If you’re using mobile Speeker then batter to use this stuff nice sound."
 Stone SpinX 2.0 Bira Edition,"
Sale price₹ 2,099",70% off,7 reviews,"★
  4.9
    ",Boat Stone SpinX 2.0,"I'm well satisfied with the quality the product is having. As of now, the speaker is running smoothly without any issues. Please add extra bass in the speaker for more vibing experience. Thank you"
 Stone SpinX 2.0 Bira Edition,"
Sale price₹ 2,099",70% off,7 reviews,"★
  4.9
    ",SUPERUB PRODUCT,"Loved it 😊, comfortable in your hand , Excellent Sound Quality"
 Stone SpinX 2.0 Bira Edition,"
Sale price₹ 2,099",70% off,7 reviews,"★
  4.9
    ",Boat is best . Bira is awesome. Spinx 2.0 is 🔥,I loved the spinx 2.0 bira edition. The graphic art on speaker looks so cool. The sound quality is very nice . Bass is awesome with the passive bass radiators . Overall the speaker is very nice and worth it
 Stone SpinX 2.0 Bira Edition,"
Sale price₹ 2,099",70% off,7 reviews,"★
  4.9
    ",Very good speaker.,The boat x bira edition spinx speaker is very good at sound quality and bass. I was waiting for it from the day i ordered that is 4 days back .The built quality is very good . I just think the sound can be increased a little bit . It feels less it can be increased.just the speaker volume at its maximum doesn't feel that loud
 Stone SpinX 2.0 Bira Edition,"
Sale price₹ 2,099",70% off,7 reviews,"★
  4.9
    ",Stone SpinX 2.0 Review,"Very impressive bluetooth speaker by Boat under such a minimum budget.
Awesome sound quality and bass."
 Stone SpinX 2.0 Bira Edition,"
Sale price₹ 2,099",70% off,7 reviews,"★
  4.9
    ",Nice Product 😊,Best Quality and sound clear sound full hd
